title	instructor	description	url	price	tag	category	rating	thumbnail_url	is_package	is_free	enrollment_count	uploade_date
DOM 기본	김영보	DOM은 동적 애플리케이션의 시작입니다.	https://edu.goorm.io/lecture/33890/dom-기본	77000	리액트-앵귤러-자바스크립트-타입스크립트-HTML-vue-DOM	프로그래밍-프로그래밍기초	0.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_lVRPe_1667315746205/coverImage.png?_=1668148735478	False	False		
디지털 리터러시	마소캠퍼스	디지털 세상에 적응하는 법을 이해하는 강의입니다.	https://edu.goorm.io/lecture/34123/디지털-리터러시	99000	네트워크-데이터분석-데이터베이스-머신러닝-빅데이터-알고리즘-인공지능-자동화-클라우드-통계	프로그래밍-프로그래밍교양	0.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_lezWN_1669771699882/coverImage.png?_=1671518895214	False	False		
자바스크립트 ES6+ 기초 핵심 문법	이룸코딩	자바스크립트에 처음 입문하시는 분들이 모던 자바스크립트에 대해 알아야 하는 핵심 문법을 짧고 굵게 정리했습니다.	https://edu.goorm.io/lecture/34097/자바스크립트-es6-기초-핵심-문법	0	자바스크립트-CSS-HTML	웹프로그래밍-프로그래밍	0.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_efQwc_1669435679375/coverImage.png?_=1670209565054	False	True		
[ 부트스트랩 5 ] 빠르고 스마트하게 웹사이트 만들기 | 입문용	코드덤	전세계적으로 가장 많이 사용되고 있는 웹 디자인 툴킷! 부트스트랩5로 웹 사이트 제작부터 배포까지!	https://edu.goorm.io/lecture/33782/부트스트랩-5-빠르고-스마트하게-웹사이트-만들기-입문용	88000	부트스트랩-CSS-HTML	웹프로그래밍-프로그래밍	0.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_bgPbV_1666358247469/coverImage.png?_=1667464959300	False	False		
자바스크립트 완전 끝내기: ES6+ 심화	김영보	자바스크립트의 고도화된 언어적 활용과 비동기 통신, 비동기 프로세스 전반을 배울 수 있습니다.	https://edu.goorm.io/lecture/33878/자바스크립트-완전-끝내기-es6-심화	55000	자바스크립트	웹프로그래밍-프로그래밍	0.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_KaZgp_1667218622967/coverImage.png?_=1668149032413	False	False		
자바스크립트 완전 끝내기: ES6+ 기본	김영보	모던 자바스크립트의 바탕이 되는 ES6+ 기본 문법을 배울 수 있습니다.	https://edu.goorm.io/lecture/33877/자바스크립트-완전-끝내기-es6-기본	55000	자바스크립트	웹프로그래밍-프로그래밍	0.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_Nlphb_1667218363908/coverImage.png?_=1668148548501	False	False		
자바스크립트 완전 끝내기: 중고급	김영보	자바스크립트 엔진을 다루며, 자바스크립트 엔진에 최적화된 코드를 개발할 수 있습니다.	https://edu.goorm.io/lecture/33876/자바스크립트-완전-끝내기-중고급	55000	자바스크립트	웹프로그래밍-프로그래밍	0.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_jycFa_1667218084859/coverImage.png?_=1668148521493	False	False		
자바스크립트 완전 끝내기: 비기너	김영보	튼튼한 자바스크립트 기본을 만들 수 있습니다. 자바스크립트 개발 경험자는 전반적으로 기본을 정리할 수 있습니다.	https://edu.goorm.io/lecture/33866/자바스크립트-완전-끝내기-비기너	44000	자바스크립트	웹프로그래밍-프로그래밍	0.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_sFnaH_1667194959695/coverImage.png?_=1668148499887	False	False		
예제로 배우는 파이썬 터틀 프로젝트 2편 [비전공자 초급 과정]	코드덤	타로 카드 점 보기, 미로 탈출 게임, 맞춤법 폭탄 게임 등 파이썬 turtle로 만드는 총 10가지 프로젝트	https://edu.goorm.io/lecture/33818/예제로-배우는-파이썬-터틀-프로젝트-2편-비전공자-초급-과정	77000	파이썬	프로그래밍-프로그래밍기초	0.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_MUhXf_1666680162448/coverImage.png?_=1666859192868	False	False		
예제로 배우는 파이썬 터틀 프로젝트 1편 [비전공자 초급 과정]	코드덤	점프 게임, 숨은 터틀 찾기, 청기 백기 게임 등 파이썬 터틀 그래픽으로 만드는 총 10가지 프로젝트	https://edu.goorm.io/lecture/33781/예제로-배우는-파이썬-터틀-프로젝트-1편-비전공자-초급-과정	55000	파이썬	프로그래밍-프로그래밍기초	0.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_gcbCp_1666349621973/coverImage.png?_=1666859187055	False	False		
우리가 함께 하는 파이썬 A.I. 체험	세명컴퓨터고등학교장	파이썬 프로그램 기반으로 인공지능을 이용해 여러 예측을 하는 프로그래밍 강의	https://edu.goorm.io/lecture/33535/우리가-함께-하는-파이썬-a-i-체험	0	데이터분석-딥러닝-머신러닝-빅데이터-알고리즘-인공지능-파이썬	프로그래밍-인공지능	4.8	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_XtgYv_1664852081192/coverImage.png?_=1665640502386	False	True		
라즈베리파이와의 첫만남, OS설치부터 화면 미러링까지!	Glacier Han	라즈베리파이4에 대한 소개부터 라즈비안OS 설치, 무선랜 설정, VNC 미러링까지 모두 진행하는 강의입니다.	https://edu.goorm.io/lecture/33457/라즈베리파이와의-첫만남-os설치부터-화면-미러링까지	0	리눅스-운영체제-파이썬-C++	프로그래밍-프로그래밍기초	5.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_ZxvLK_1663651235627/coverImage.png?_=1664245312753	False	True		
파이썬 개발자를 위한 Dart(다트) 강좌 기초	행보칸코딩	파이썬 개발자를 위한 Dart(다트) 강좌입니다.	https://edu.goorm.io/lecture/32381/파이썬-개발자를-위한-dart-다트-강좌-기초	0	파이썬-다트-플러터	프로그래밍-프로그래밍기초	0.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_bSZTI_1659885272839/coverImage.png?_=1661392524652	False	True		
코딩은 처음이라 with 웹 퍼블리싱	영진닷컴	HTML, CSS 기초부터 반응형 홈페이지 구현까지 한번에 학습합니다.	https://edu.goorm.io/lecture/32173/코딩은-처음이라-with-웹-퍼블리싱	0	자바스크립트-CSS-HTML	웹프로그래밍-프로그래밍	5.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_fdvXl_1658104632420/coverImage.png?_=1660196393334	False	True		
생활코딩 - Python 입문	생활코딩	컴퓨터 프로그래밍 언어인 파이썬 입문 수업입니다.	https://edu.goorm.io/lecture/28708/생활코딩-python-입문	0	파이썬	프로그래밍-프로그래밍기초	4.9	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_VbGRb_1630072548024/coverImage.png?_=1630931615729	False	True		
홍드로이드의 To-Do 리스트 앱 만들기	홍드로이드	기획, 개발, 수익화, 출시까지 안드로이드 앱 개발을 한 번에 다뤄봅시다!	https://edu.goorm.io/lecture/31681/홍드로이드의-to-do-리스트-앱-만들기	60000	안드로이드-코틀린	프로그래밍-모바일프로그래밍	0.0	https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_iccuC_1654424781238/coverImage.png?_=1656050420140	False	False		
