site,title,instructor,description,url,price,tags,rating,thumbnail_url,is_package,is_free,enrollment_count
인프런,자바 개발자를 위한 코틀린 입문(Java to Kotlin Starter Guide),최태현,,https://www.inflearn.com/course/java-to-kotlin,50000,"프로그래밍 언어,백엔드,kotlin,java,객체지향,초급,인프런",4.99,https://cdn.inflearn.com/public/courses/328606/cover/b7a541f1-a587-4c1b-b333-a5969a331c84/328606-eng.png,False,False,0.0
인프런,스프링 MVC 1편 - 백엔드 웹 개발 핵심 기술,김영한,,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81-mvc-1,90000,"백엔드,웹 개발,mvc,spring,초급,인프런",4.975659229208925,https://cdn.inflearn.com/public/courses/326674/cover/4657d793-56a4-42f3-9d44-dc88d125a49e,False,False,0.0
인프런,Slack 클론 코딩[실시간 채팅 with React],조현영,,https://www.inflearn.com/course/%ED%81%B4%EB%A1%A0%EC%BD%94%EB%94%A9-%EC%8B%A4%EC%8B%9C%EA%B0%84%EC%B1%84%ED%8C%85,36000,"프론트엔드,웹 개발,클론코딩,react,typescript,webpack,babel,socket.io,중급이상,인프런",4.849315068493151,https://cdn.inflearn.com/public/courses/326673/cover/e430860b-4ad4-4b01-b4c7-64dccfc64b3a,False,False,0.0
인프런,Spring Cloud로 개발하는 마이크로서비스 애플리케이션(MSA),Dowon Lee,,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EB%A7%88%EC%9D%B4%ED%81%AC%EB%A1%9C%EC%84%9C%EB%B9%84%EC%8A%A4,80000,"백엔드,데브옵스,인프라,웹 개발,클라우드,spring cloud,msa,spring boot,kafka,아키텍처,jpa,초급,인프런",4.939271255060729,https://cdn.inflearn.com/public/courses/326544/cover/02f637a6-7369-4ab0-b638-3eccd9c339db/326544-eng.png,False,False,0.0
인프런,비전공자를 위한 진짜 입문 올인원 개발 부트캠프,그랩,,https://www.inflearn.com/course/%EC%98%AC%EC%9D%B8%EC%9B%90-%EA%B0%9C%EB%B0%9C%ED%81%B4%EB%9E%98%EC%8A%A4,130000,"풀스택,웹 개발,프론트엔드,javascript,react,node.js,express,react native,머신러닝,html/css,tensorflow,입문,인프런",4.7984496124031,https://cdn.inflearn.com/public/courses/326174/cover/b0536120-7de3-4aa8-8266-97cf3881e87d,False,False,0.0
인프런,실전! 스프링 부트와 JPA 활용2 - API 개발과 성능 최적화,김영한,,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81%EB%B6%80%ED%8A%B8-JPA-API%EA%B0%9C%EB%B0%9C-%EC%84%B1%EB%8A%A5%EC%B5%9C%EC%A0%81%ED%99%94,80000,"백엔드,웹 개발,java,spring,spring boot,jpa,중급이상,인프런",4.981838819523269,https://cdn.inflearn.com/public/courses/324214/course_cover/8ce5e6b5-6b31-4659-a0cd-eec20efc13f4/kyh_JPA_Spring2.png,False,False,0.0
인프런,자바 ORM 표준 JPA 프로그래밍 - 기본편,김영한,,https://www.inflearn.com/course/ORM-JPA-Basic,110000,"백엔드,웹 개발,데이터베이스,java,jpa,초급,인프런",4.971175166297117,https://cdn.inflearn.com/public/courses/324109/course_cover/161476f8-f0b7-4b04-b293-ce648c2ea445/kyh_jsp.png,False,False,0.0
인프런,이득우의 언리얼 프로그래밍 Part2 - 언리얼 게임 프레임웍의 이해,청강문화산업대학교,,https://www.inflearn.com/course/%EC%9D%B4%EB%93%9D%EC%9A%B0-%EC%96%B8%EB%A6%AC%EC%96%BC-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-part-2,180000,"게임 프로그래밍,게임 개발,unreal engine,언리얼 c++,ue blueprint,초급,인프런",5.0,https://cdn.inflearn.com/public/courses/330963/cover/6d9bdef8-8910-4fff-b86c-753bae3c5215/330963-eng.jpg,False,False,0.0
인프런,모두를 위한 모두의 EVM 블록체인 BApp 개발 - 입문,야매코더,,https://www.inflearn.com/course/%EB%AA%A8%EB%91%90%EC%9D%98-evm-%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8-bapp-%EA%B0%9C%EB%B0%9C,90000,"블록체인,교양,기타,블록체인,smart contract,nft,입문,인프런",0.0,https://cdn.inflearn.com/public/courses/330837/cover/c903825a-3370-43be-832b-5e3600cb4f69/blockchain_dev_basic_thumbnail-001.png,False,False,0.0
인프런,CloudNet@와 함께하는 AWS 네트워킹 입문,Ongja_CloudNet@,,https://www.inflearn.com/course/cloudneta-aws-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%82%B9-%EC%9E%85%EB%AC%B8,56000,"클라우드,네트워크,데브옵스,인프라,aws,네트워크,입문,인프런",5.0,https://cdn.inflearn.com/public/courses/330742/cover/d8ec4a43-aeb0-4576-86f4-a01c007e3f6e/330742-eng.png,False,False,0.0
